doc,word,score
Copy of A. Priyadarsini et al. 2023.pdf,methanol,95
Copy of A. Priyadarsini et al. 2023.pdf,methane,90
Copy of A. Priyadarsini et al. 2023.pdf,mm,89
Copy of A. Priyadarsini et al. 2023.pdf,al,83
Copy of A. Priyadarsini et al. 2023.pdf,et,79
Copy of A. Priyadarsini et al. 2023.pdf,et al,79
Copy of A. Priyadarsini et al. 2023.pdf,rice,53
Copy of A. Priyadarsini et al. 2023.pdf,methanotroph,51
Copy of A. Priyadarsini et al. 2023.pdf,production,50
Copy of A. Priyadarsini et al. 2023.pdf,field,44
Copy of A. Priyadarsini et al. 2023.pdf,rice field,42
Copy of A. Priyadarsini et al. 2023.pdf,methanol production,39
Copy of A. Priyadarsini et al. 2023.pdf,culture,38
Copy of A. Priyadarsini et al. 2023.pdf,soil,33
Copy of A. Priyadarsini et al. 2023.pdf,ph,30
Copy of A. Priyadarsini et al. 2023.pdf,batch,27
Copy of A. Priyadarsini et al. 2023.pdf,patel,27
Copy of A. Priyadarsini et al. 2023.pdf,mode,25
Copy of A. Priyadarsini et al. 2023.pdf,batch mode,24
Copy of A. Priyadarsini et al. 2023.pdf,capsulatus,24
Copy of A. Priyadarsini et al. 2023.pdf,air,23
Copy of A. Priyadarsini et al. 2023.pdf,consortium,22
Copy of A. Priyadarsini et al. 2023.pdf,field soil,22
Copy of A. Priyadarsini et al. 2023.pdf,ph mm,21
Copy of A. Priyadarsini et al. 2023.pdf,energy,20
Copy of A. Priyadarsini et al. 2023.pdf,lee,20
Copy of A. Priyadarsini et al. 2023.pdf,sample,20
Copy of A. Priyadarsini et al. 2023.pdf,bacteria,19
Copy of A. Priyadarsini et al. 2023.pdf,formate,18
Copy of A. Priyadarsini et al. 2023.pdf,natural,18
Copy of A. Priyadarsini et al. 2023.pdf,type,18
Copy of A. Priyadarsini et al. 2023.pdf,μm,18
Copy of A. Priyadarsini et al. 2023.pdf,conversion,17
Copy of A. Priyadarsini et al. 2023.pdf,methane methanol,17
Copy of A. Priyadarsini et al. 2023.pdf,methanotrophic,17
Copy of A. Priyadarsini et al. 2023.pdf,smmo,17
Copy of A. Priyadarsini et al. 2023.pdf,dna,16
Copy of A. Priyadarsini et al. 2023.pdf,microbiol,16
Copy of A. Priyadarsini et al. 2023.pdf,strain,16
Copy of A. Priyadarsini et al. 2023.pdf,technology,16
Copy of Adegbola thesis High Density Cultures.pdf,methanol,238
Copy of Adegbola thesis High Density Cultures.pdf,growth,143
Copy of Adegbola thesis High Density Cultures.pdf,cell,109
Copy of Adegbola thesis High Density Cultures.pdf,smmo,102
Copy of Adegbola thesis High Density Cultures.pdf,trichosporium,95
Copy of Adegbola thesis High Density Cultures.pdf,methane,92
Copy of Adegbola thesis High Density Cultures.pdf,biomass,91
Copy of Adegbola thesis High Density Cultures.pdf,al,89
Copy of Adegbola thesis High Density Cultures.pdf,effect,84
Copy of Adegbola thesis High Density Cultures.pdf,figure,84
Copy of Adegbola thesis High Density Cultures.pdf,et,79
Copy of Adegbola thesis High Density Cultures.pdf,et al,78
Copy of Adegbola thesis High Density Cultures.pdf,sensor,78
Copy of Adegbola thesis High Density Cultures.pdf,rate,72
Copy of Adegbola thesis High Density Cultures.pdf,activity,65
Copy of Adegbola thesis High Density Cultures.pdf,ammonium,65
Copy of Adegbola thesis High Density Cultures.pdf,yield,61
Copy of Adegbola thesis High Density Cultures.pdf,nutrient,58
Copy of Adegbola thesis High Density Cultures.pdf,methanol concentration,47
Copy of Adegbola thesis High Density Cultures.pdf,smmo activity,47
Copy of Adegbola thesis High Density Cultures.pdf,fermentation,46
Copy of Adegbola thesis High Density Cultures.pdf,table,45
Copy of Adegbola thesis High Density Cultures.pdf,density,42
Copy of Adegbola thesis High Density Cultures.pdf,feed,42
Copy of Adegbola thesis High Density Cultures.pdf,production,42
Copy of Adegbola thesis High Density Cultures.pdf,batch,41
Copy of Adegbola thesis High Density Cultures.pdf,growth rate,40
Copy of Adegbola thesis High Density Cultures.pdf,source,39
Copy of Adegbola thesis High Density Cultures.pdf,nitrogen,38
Copy of Adegbola thesis High Density Cultures.pdf,bioreactor,37
Copy of Adegbola thesis High Density Cultures.pdf,carbon,37
Copy of Adegbola thesis High Density Cultures.pdf,cultivation,37
Copy of Adegbola thesis High Density Cultures.pdf,min,37
Copy of Adegbola thesis High Density Cultures.pdf,grow,36
Copy of Adegbola thesis High Density Cultures.pdf,control,35
Copy of Adegbola thesis High Density Cultures.pdf,copper,35
Copy of Adegbola thesis High Density Cultures.pdf,methylosinus,34
Copy of Adegbola thesis High Density Cultures.pdf,methylosinus trichosporium,34
Copy of Adegbola thesis High Density Cultures.pdf,culture,32
Copy of Adegbola thesis High Density Cultures.pdf,initial,31
Copy of Ahmadi & Lackner 2024.pdf,al,142
Copy of Ahmadi & Lackner 2024.pdf,et,135
Copy of Ahmadi & Lackner 2024.pdf,et al,135
Copy of Ahmadi & Lackner 2024.pdf,methane,116
Copy of Ahmadi & Lackner 2024.pdf,methanotroph,81
Copy of Ahmadi & Lackner 2024.pdf,oxidation,62
Copy of Ahmadi & Lackner 2024.pdf,bacteria,56
Copy of Ahmadi & Lackner 2024.pdf,methanotrophic,50
Copy of Ahmadi & Lackner 2024.pdf,gene,47
Copy of Ahmadi & Lackner 2024.pdf,soil,43
Copy of Ahmadi & Lackner 2024.pdf,type,38
Copy of Ahmadi & Lackner 2024.pdf,carbon,37
Copy of Ahmadi & Lackner 2024.pdf,pathway,32
Copy of Ahmadi & Lackner 2024.pdf,methane oxidation,31
Copy of Ahmadi & Lackner 2024.pdf,microbiol,31
Copy of Ahmadi & Lackner 2024.pdf,phosphate,31
Copy of Ahmadi & Lackner 2024.pdf,lee,30
Copy of Ahmadi & Lackner 2024.pdf,growth,29
Copy of Ahmadi & Lackner 2024.pdf,doi,28
Copy of Ahmadi & Lackner 2024.pdf,anaerobic,27
Copy of Ahmadi & Lackner 2024.pdf,methanotrophic bacteria,27
Copy of Ahmadi & Lackner 2024.pdf,utilize,25
Copy of Ahmadi & Lackner 2024.pdf,microbiology,24
Copy of Ahmadi & Lackner 2024.pdf,ne,24
Copy of Ahmadi & Lackner 2024.pdf,production,24
Copy of Ahmadi & Lackner 2024.pdf,biotechnology,22
Copy of Ahmadi & Lackner 2024.pdf,source,22
Copy of Ahmadi & Lackner 2024.pdf,methanol,21
Copy of Ahmadi & Lackner 2024.pdf,microbiology biotechnology,21
Copy of Ahmadi & Lackner 2024.pdf,cell,20
Copy of Ahmadi & Lackner 2024.pdf,page,20
Copy of Ahmadi & Lackner 2024.pdf,le,19
Copy of Ahmadi & Lackner 2024.pdf,sludge,19
Copy of Ahmadi & Lackner 2024.pdf,environ,18
Copy of Ahmadi & Lackner 2024.pdf,enzyme,18
Copy of Ahmadi & Lackner 2024.pdf,novel,18
Copy of Ahmadi & Lackner 2024.pdf,paddy,18
Copy of Ahmadi & Lackner 2024.pdf,reduce,18
Copy of Ahmadi & Lackner 2024.pdf,specie,18
Copy of Ahmadi & Lackner 2024.pdf,aerobic,17
Copy of Baldo et al. 2024.pdf,meoh,185
Copy of Baldo et al. 2024.pdf,formate,142
Copy of Baldo et al. 2024.pdf,al,83
Copy of Baldo et al. 2024.pdf,production,80
Copy of Baldo et al. 2024.pdf,et,72
Copy of Baldo et al. 2024.pdf,et al,72
Copy of Baldo et al. 2024.pdf,cell,64
Copy of Baldo et al. 2024.pdf,figure,62
Copy of Baldo et al. 2024.pdf,trichosporium,61
Copy of Baldo et al. 2024.pdf,meoh production,56
Copy of Baldo et al. 2024.pdf,methanol,53
Copy of Baldo et al. 2024.pdf,reaction,51
Copy of Baldo et al. 2024.pdf,mg,44
Copy of Baldo et al. 2024.pdf,bacterial,36
Copy of Baldo et al. 2024.pdf,formate concentration,31
Copy of Baldo et al. 2024.pdf,rm,30
Copy of Baldo et al. 2024.pdf,biomass,26
Copy of Baldo et al. 2024.pdf,methane,25
Copy of Baldo et al. 2024.pdf,dry,24
Copy of Baldo et al. 2024.pdf,ph,24
Copy of Baldo et al. 2024.pdf,produce,24
Copy of Baldo et al. 2024.pdf,methylosinus,22
Copy of Baldo et al. 2024.pdf,methylosinus trichosporium,22
Copy of Baldo et al. 2024.pdf,pen,22
Copy of Baldo et al. 2024.pdf,dry biomass,21
Copy of Baldo et al. 2024.pdf,initial,21
Copy of Baldo et al. 2024.pdf,assay,20
Copy of Baldo et al. 2024.pdf,mdh,20
Copy of Baldo et al. 2024.pdf,nms,20
Copy of Baldo et al. 2024.pdf,nadh,17
Copy of Baldo et al. 2024.pdf,oxidation,17
Copy of Baldo et al. 2024.pdf,nm,16
Copy of Baldo et al. 2024.pdf,nmr,16
Copy of Baldo et al. 2024.pdf,pen et,16
Copy of Baldo et al. 2024.pdf,bacteria,15
Copy of Baldo et al. 2024.pdf,kinetic,15
Copy of Baldo et al. 2024.pdf,methanol production,15
Copy of Baldo et al. 2024.pdf,observe,15
Copy of Baldo et al. 2024.pdf,accumulation,14
Copy of Baldo et al. 2024.pdf,biotechnology,14
Copy of Bjorck et al. 2018.pdf,methanol,238
Copy of Bjorck et al. 2018.pdf,methane,229
Copy of Bjorck et al. 2018.pdf,cell,125
Copy of Bjorck et al. 2018.pdf,methanotroph,107
Copy of Bjorck et al. 2018.pdf,oxidation,91
Copy of Bjorck et al. 2018.pdf,al,79
Copy of Bjorck et al. 2018.pdf,et,75
Copy of Bjorck et al. 2018.pdf,et al,75
Copy of Bjorck et al. 2018.pdf,trichosporium,70
Copy of Bjorck et al. 2018.pdf,reaction,63
Copy of Bjorck et al. 2018.pdf,production,60
Copy of Bjorck et al. 2018.pdf,bacteria,58
Copy of Bjorck et al. 2018.pdf,mmo,54
Copy of Bjorck et al. 2018.pdf,volume,52
Copy of Bjorck et al. 2018.pdf,mm,51
Copy of Bjorck et al. 2018.pdf,energy,50
Copy of Bjorck et al. 2018.pdf,methylosinus,49
Copy of Bjorck et al. 2018.pdf,activity,47
Copy of Bjorck et al. 2018.pdf,growth,46
Copy of Bjorck et al. 2018.pdf,methylosinus trichosporium,46
Copy of Bjorck et al. 2018.pdf,enzyme,45
Copy of Bjorck et al. 2018.pdf,issue,45
Copy of Bjorck et al. 2018.pdf,carbon,44
Copy of Bjorck et al. 2018.pdf,formate,42
Copy of Bjorck et al. 2018.pdf,produce,42
Copy of Bjorck et al. 2018.pdf,culture,40
Copy of Bjorck et al. 2018.pdf,natural,40
Copy of Bjorck et al. 2018.pdf,product,40
Copy of Bjorck et al. 2018.pdf,aims,39
Copy of Bjorck et al. 2018.pdf,bioengineering,39
Copy of Bjorck et al. 2018.pdf,conversion,39
Copy of Bjorck et al. 2018.pdf,methane methanol,39
Copy of Bjorck et al. 2018.pdf,source,39
Copy of Bjorck et al. 2018.pdf,addition,38
Copy of Bjorck et al. 2018.pdf,aims bioengineering,38
Copy of Bjorck et al. 2018.pdf,potential,38
Copy of Bjorck et al. 2018.pdf,fuel,37
Copy of Bjorck et al. 2018.pdf,reduce,37
Copy of Bjorck et al. 2018.pdf,mdh,34
Copy of Bjorck et al. 2018.pdf,methanotrophic,32
Copy of Blanchette et al. 2016.pdf,pmmo,132
Copy of Blanchette et al. 2016.pdf,activity,73
Copy of Blanchette et al. 2016.pdf,membrane,63
Copy of Blanchette et al. 2016.pdf,hydrogel,62
Copy of Blanchette et al. 2016.pdf,methane,60
Copy of Blanchette et al. 2016.pdf,enzyme,59
Copy of Blanchette et al. 2016.pdf,material,57
Copy of Blanchette et al. 2016.pdf,peg,51
Copy of Blanchette et al. 2016.pdf,methanol,46
Copy of Blanchette et al. 2016.pdf,mg,33
Copy of Blanchette et al. 2016.pdf,mm,33
Copy of Blanchette et al. 2016.pdf,lattice,30
Copy of Blanchette et al. 2016.pdf,min,29
Copy of Blanchette et al. 2016.pdf,nadh,26
Copy of Blanchette et al. 2016.pdf,print,26
Copy of Blanchette et al. 2016.pdf,reaction,25
Copy of Blanchette et al. 2016.pdf,fig,24
Copy of Blanchette et al. 2016.pdf,ml,24
Copy of Blanchette et al. 2016.pdf,surface,24
Copy of Blanchette et al. 2016.pdf,liquid,23
Copy of Blanchette et al. 2016.pdf,area,22
Copy of Blanchette et al. 2016.pdf,nmol,22
Copy of Blanchette et al. 2016.pdf,polymer,22
Copy of Blanchette et al. 2016.pdf,cell,21
Copy of Blanchette et al. 2016.pdf,printing,21
Copy of Blanchette et al. 2016.pdf,reactor,20
Copy of Blanchette et al. 2016.pdf,surface area,20
Copy of Blanchette et al. 2016.pdf,ﬂow,20
Copy of Blanchette et al. 2016.pdf,buffer,19
Copy of Blanchette et al. 2016.pdf,doi,19
Copy of Blanchette et al. 2016.pdf,meoh,19
Copy of Blanchette et al. 2016.pdf,nature,19
Copy of Blanchette et al. 2016.pdf,protein,19
Copy of Blanchette et al. 2016.pdf,al,18
Copy of Blanchette et al. 2016.pdf,bind,18
Copy of Blanchette et al. 2016.pdf,cycle,18
Copy of Blanchette et al. 2016.pdf,structure,18
Copy of Blanchette et al. 2016.pdf,thin,18
Copy of Blanchette et al. 2016.pdf,volume,18
Copy of Blanchette et al. 2016.pdf,assay,17
Copy of Burrows et al 1984.pdf,mmo,55
Copy of Burrows et al 1984.pdf,soluble,45
Copy of Burrows et al 1984.pdf,particulate,42
Copy of Burrows et al 1984.pdf,trichosporium,33
Copy of Burrows et al 1984.pdf,methane,31
Copy of Burrows et al 1984.pdf,copper,29
Copy of Burrows et al 1984.pdf,al,27
Copy of Burrows et al 1984.pdf,et,26
Copy of Burrows et al 1984.pdf,organism,26
Copy of Burrows et al 1984.pdf,oxidize,25
Copy of Burrows et al 1984.pdf,particulate mmo,25
Copy of Burrows et al 1984.pdf,et al,24
Copy of Burrows et al 1984.pdf,cell,21
Copy of Burrows et al 1984.pdf,ml,21
Copy of Burrows et al 1984.pdf,substrate,21
Copy of Burrows et al 1984.pdf,wt,21
Copy of Burrows et al 1984.pdf,copper medium,19
Copy of Burrows et al 1984.pdf,grow,19
Copy of Burrows et al 1984.pdf,enzyme,18
Copy of Burrows et al 1984.pdf,oxidation,18
Copy of Burrows et al 1984.pdf,rate,18
Copy of Burrows et al 1984.pdf,soluble particulate,18
Copy of Burrows et al 1984.pdf,suspension,18
Copy of Burrows et al 1984.pdf,activity,15
Copy of Burrows et al 1984.pdf,dalton,15
Copy of Burrows et al 1984.pdf,dry,14
Copy of Burrows et al 1984.pdf,methane mono,14
Copy of Burrows et al 1984.pdf,mono,14
Copy of Burrows et al 1984.pdf,oxygenase,14
Copy of Burrows et al 1984.pdf,mm,13
Copy of Burrows et al 1984.pdf,scott,13
Copy of Burrows et al 1984.pdf,aromatic,12
Copy of Burrows et al 1984.pdf,compound,12
Copy of Burrows et al 1984.pdf,journal,12
Copy of Burrows et al 1984.pdf,min,12
Copy of Burrows et al 1984.pdf,mono oxygenase,12
Copy of Burrows et al 1984.pdf,product,12
Copy of Burrows et al 1984.pdf,soluble mmo,12
Copy of Burrows et al 1984.pdf,alicyclic,11
Copy of Burrows et al 1984.pdf,bath,11
Copy of Bursova et al 2015.pdf,acid,47
Copy of Bursova et al 2015.pdf,methanol,47
Copy of Bursova et al 2015.pdf,formic,37
Copy of Bursova et al 2015.pdf,formic acid,37
Copy of Bursova et al 2015.pdf,serum,32
Copy of Bursova et al 2015.pdf,sample,28
Copy of Bursova et al 2015.pdf,ethanol,27
Copy of Bursova et al 2015.pdf,method,26
Copy of Bursova et al 2015.pdf,headspace,24
Copy of Bursova et al 2015.pdf,min,20
Copy of Bursova et al 2015.pdf,methanol ethanol,19
Copy of Bursova et al 2015.pdf,ethanol formic,18
Copy of Bursova et al 2015.pdf,gc,16
Copy of Bursova et al 2015.pdf,ml,15
Copy of Bursova et al 2015.pdf,urine,13
Copy of Bursova et al 2015.pdf,analysis,12
Copy of Bursova et al 2015.pdf,mg,12
Copy of Bursova et al 2015.pdf,clinical,11
Copy of Bursova et al 2015.pdf,design,11
Copy of Bursova et al 2015.pdf,injection,11
Copy of Bursova et al 2015.pdf,journal,11
Copy of Bursova et al 2015.pdf,time,11
Copy of Bursova et al 2015.pdf,determination,10
Copy of Bursova et al 2015.pdf,table,10
Copy of Bursova et al 2015.pdf,accuracy,9
Copy of Bursova et al 2015.pdf,analyte,9
Copy of Bursova et al 2015.pdf,analytical,9
Copy of Bursova et al 2015.pdf,chromatography,9
Copy of Bursova et al 2015.pdf,human,9
Copy of Bursova et al 2015.pdf,poisoning,9
Copy of Bursova et al 2015.pdf,precision,9
Copy of Bursova et al 2015.pdf,preparation,9
Copy of Bursova et al 2015.pdf,day,8
Copy of Bursova et al 2015.pdf,experimental,8
Copy of Bursova et al 2015.pdf,formate,8
Copy of Bursova et al 2015.pdf,new,8
Copy of Bursova et al 2015.pdf,tion,8
Copy of Bursova et al 2015.pdf,toxicology,8
Copy of Bursova et al 2015.pdf,blood,7
Copy of Bursova et al 2015.pdf,datum,7
Copy of Cantera et al. 2016.pdf,al,69
Copy of Cantera et al. 2016.pdf,et,68
Copy of Cantera et al. 2016.pdf,et al,68
Copy of Cantera et al. 2016.pdf,rpm,41
Copy of Cantera et al. 2016.pdf,community,40
Copy of Cantera et al. 2016.pdf,methylomonas,39
Copy of Cantera et al. 2016.pdf,enrichment,36
Copy of Cantera et al. 2016.pdf,culture,29
Copy of Cantera et al. 2016.pdf,rate,29
Copy of Cantera et al. 2016.pdf,enrich,28
Copy of Cantera et al. 2016.pdf,mm,25
Copy of Cantera et al. 2016.pdf,environmental,24
Copy of Cantera et al. 2016.pdf,methane,24
Copy of Cantera et al. 2016.pdf,sediment,24
Copy of Cantera et al. 2016.pdf,kinetic,23
Copy of Cantera et al. 2016.pdf,microbial,22
Copy of Cantera et al. 2016.pdf,band,21
Copy of Cantera et al. 2016.pdf,sequence,20
Copy of Cantera et al. 2016.pdf,biodegradation,19
Copy of Cantera et al. 2016.pdf,methanotroph,18
Copy of Cantera et al. 2016.pdf,microbiol,16
Copy of Cantera et al. 2016.pdf,structure,16
Copy of Cantera et al. 2016.pdf,water,16
Copy of Cantera et al. 2016.pdf,bacteria,15
Copy of Cantera et al. 2016.pdf,culture enrich,15
Copy of Cantera et al. 2016.pdf,diversity,15
Copy of Cantera et al. 2016.pdf,effect,15
Copy of Cantera et al. 2016.pdf,gene,15
Copy of Cantera et al. 2016.pdf,ks,15
Copy of Cantera et al. 2016.pdf,soil,15
Copy of Cantera et al. 2016.pdf,type,15
Copy of Cantera et al. 2016.pdf,copper,14
Copy of Cantera et al. 2016.pdf,genus,14
Copy of Cantera et al. 2016.pdf,methanica,14
Copy of Cantera et al. 2016.pdf,methanotrophic,14
Copy of Cantera et al. 2016.pdf,methylomonas methanica,14
Copy of Cantera et al. 2016.pdf,obtain,14
Copy of Cantera et al. 2016.pdf,dna,13
Copy of Cantera et al. 2016.pdf,fig,13
Copy of Cantera et al. 2016.pdf,marine,13
Copy of Chen et al. 2021.pdf,phase,115
Copy of Chen et al. 2021.pdf,reaction,101
Copy of Chen et al. 2021.pdf,phase reaction,94
Copy of Chen et al. 2021.pdf,cell,80
Copy of Chen et al. 2021.pdf,gas phase,78
Copy of Chen et al. 2021.pdf,al,48
Copy of Chen et al. 2021.pdf,et,46
Copy of Chen et al. 2021.pdf,et al,46
Copy of Chen et al. 2021.pdf,capsulatus,42
Copy of Chen et al. 2021.pdf,bath,41
Copy of Chen et al. 2021.pdf,capsulatus bath,38
Copy of Chen et al. 2021.pdf,aqueous,37
Copy of Chen et al. 2021.pdf,aqueous phase,31
Copy of Chen et al. 2021.pdf,metabolic,31
Copy of Chen et al. 2021.pdf,microbial,26
Copy of Chen et al. 2021.pdf,metabolite,23
Copy of Chen et al. 2021.pdf,rate,23
Copy of Chen et al. 2021.pdf,analysis,22
Copy of Chen et al. 2021.pdf,methane,22
Copy of Chen et al. 2021.pdf,microbial gas,20
Copy of Chen et al. 2021.pdf,ml,20
Copy of Chen et al. 2021.pdf,level,19
Copy of Chen et al. 2021.pdf,cell gas,18
Copy of Chen et al. 2021.pdf,chen,18
Copy of Chen et al. 2021.pdf,fig,18
Copy of Chen et al. 2021.pdf,min,18
Copy of Chen et al. 2021.pdf,filter,17
Copy of Chen et al. 2021.pdf,bioreactor,16
Copy of Chen et al. 2021.pdf,liquid,15
Copy of Chen et al. 2021.pdf,metabolism,15
Copy of Chen et al. 2021.pdf,supply,15
Copy of Chen et al. 2021.pdf,technology,15
Copy of Chen et al. 2021.pdf,acid,14
Copy of Chen et al. 2021.pdf,bath cell,14
Copy of Chen et al. 2021.pdf,carbon,14
Copy of Chen et al. 2021.pdf,decrease,14
Copy of Chen et al. 2021.pdf,reactor,14
Copy of Chen et al. 2021.pdf,chen et,13
Copy of Chen et al. 2021.pdf,kg,13
Copy of Chen et al. 2021.pdf,base,12
Copy of Chen et al. 2023.pdf,cell,79
Copy of Chen et al. 2023.pdf,phase,73
Copy of Chen et al. 2023.pdf,ml,72
Copy of Chen et al. 2023.pdf,rate,61
Copy of Chen et al. 2023.pdf,membrane,55
Copy of Chen et al. 2023.pdf,chamber,54
Copy of Chen et al. 2023.pdf,bioreactor,53
Copy of Chen et al. 2023.pdf,aqueous,50
Copy of Chen et al. 2023.pdf,consumption,44
Copy of Chen et al. 2023.pdf,gas phase,41
Copy of Chen et al. 2023.pdf,nature,41
Copy of Chen et al. 2023.pdf,production,41
Copy of Chen et al. 2023.pdf,springer,41
Copy of Chen et al. 2023.pdf,time,41
Copy of Chen et al. 2023.pdf,springer nature,40
Copy of Chen et al. 2023.pdf,flow,38
Copy of Chen et al. 2023.pdf,mm,38
Copy of Chen et al. 2023.pdf,fig,37
Copy of Chen et al. 2023.pdf,liquid,37
Copy of Chen et al. 2023.pdf,filter,36
Copy of Chen et al. 2023.pdf,methane,35
Copy of Chen et al. 2023.pdf,use,34
Copy of Chen et al. 2023.pdf,content,33
Copy of Chen et al. 2023.pdf,cyclopropanol,33
Copy of Chen et al. 2023.pdf,gas chamber,33
Copy of Chen et al. 2023.pdf,al,31
Copy of Chen et al. 2023.pdf,conversion,31
Copy of Chen et al. 2023.pdf,solution,31
Copy of Chen et al. 2023.pdf,et,30
Copy of Chen et al. 2023.pdf,et al,30
Copy of Chen et al. 2023.pdf,supply,29
Copy of Chen et al. 2023.pdf,membrane bioreactor,28
Copy of Chen et al. 2023.pdf,aqueous phase,27
Copy of Chen et al. 2023.pdf,formate,27
Copy of Chen et al. 2023.pdf,term,27
Copy of Chen et al. 2023.pdf,ratio,26
Copy of Chen et al. 2023.pdf,inlet,25
Copy of Chen et al. 2023.pdf,bath,24
Copy of Chen et al. 2023.pdf,reaction,24
Copy of Chen et al. 2023.pdf,methanol,23
Copy of Duan et al. 2011.pdf,methanol,86
Copy of Duan et al. 2011.pdf,mmol,66
Copy of Duan et al. 2011.pdf,cell,55
Copy of Duan et al. 2011.pdf,methane,38
Copy of Duan et al. 2011.pdf,accumulation,33
Copy of Duan et al. 2011.pdf,phosphate,30
Copy of Duan et al. 2011.pdf,reaction,28
Copy of Duan et al. 2011.pdf,methanol accumulation,27
Copy of Duan et al. 2011.pdf,formate,26
Copy of Duan et al. 2011.pdf,sodium,24
Copy of Duan et al. 2011.pdf,sodium formate,22
Copy of Duan et al. 2011.pdf,mmol mmol,21
Copy of Duan et al. 2011.pdf,al,20
Copy of Duan et al. 2011.pdf,rate,18
Copy of Duan et al. 2011.pdf,trichosporium,18
Copy of Duan et al. 2011.pdf,dry,17
Copy of Duan et al. 2011.pdf,dry cell,17
Copy of Duan et al. 2011.pdf,fig,17
Copy of Duan et al. 2011.pdf,et,15
Copy of Duan et al. 2011.pdf,et al,15
Copy of Duan et al. 2011.pdf,phosphate concentration,14
Copy of Duan et al. 2011.pdf,membrane,13
Copy of Duan et al. 2011.pdf,methylosinus,13
Copy of Duan et al. 2011.pdf,methylosinus trichosporium,13
Copy of Duan et al. 2011.pdf,accumulate,12
Copy of Duan et al. 2011.pdf,methanol accumulate,12
Copy of Duan et al. 2011.pdf,ph,12
Copy of Duan et al. 2011.pdf,aerate,11
Copy of Duan et al. 2011.pdf,conversion,11
Copy of Duan et al. 2011.pdf,effect,11
